DATA INICIAL,DATA FINAL,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PREÇO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PREÇO MÍNIMO DISTRIBUIÇÃO,PREÇO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO
2/24/13,3/2/13,GASOLINA COMUM,8661,R$/l,"2,889","0,145","2,439","3,899","0,409","0,050","2,480","0,102","2,125","2,890","0,041"
2/24/13,3/2/13,GLP,8044,R$/13Kg,"40,465","3,991","26,000","62,000","10,584","0,099","29,881","4,524","14,663","45,000","0,151"
2/24/13,3/2/13,GNV,494,R$/m3,"1,767","0,167","1,399","2,599","0,390","0,095","1,377","0,146","1,060","1,896","0,106"
3/3/13,3/9/13,ETANOL HIDRATADO,8153,R$/l,"2,049","0,225","1,580","3,150","0,254","0,110","1,795","0,200","1,370","2,422","0,111"
3/3/13,3/9/13,ÓLEO DIESEL,6620,R$/l,"2,258","0,114","1,959","2,990","0,255","0,050","2,003","0,082","1,680","2,457","0,041"
3/3/13,3/9/13,ÓLEO DIESEL S10,1786,R$/l,"2,341","0,118","2,039","3,050","0,262","0,050","2,079","0,087","1,889","2,536","0,042"
3/3/13,3/9/13,GASOLINA COMUM,8665,R$/l,"2,889","0,145","2,449","3,899","0,408","0,050","2,481","0,101","2,125","2,885","0,041"
3/3/13,3/9/13,GLP,8032,R$/13Kg,"40,483","4,028","26,000","62,000","10,524","0,099","29,959","4,488","14,663","45,000","0,150"
3/3/13,3/9/13,GNV,522,R$/m3,"1,777","0,162","1,399","2,369","0,437","0,091","1,340","0,156","1,053","1,896","0,116"
3/10/13,3/16/13,ETANOL HIDRATADO,8154,R$/l,"2,062","0,227","1,599","3,150","0,251","0,110","1,811","0,207","1,298","2,659","0,114"
3/10/13,3/16/13,ÓLEO DIESEL,6638,R$/l,"2,306","0,116","1,949","2,990","0,267","0,050","2,039","0,087","1,703","2,430","0,043"
3/10/13,3/16/13,ÓLEO DIESEL S10,1799,R$/l,"2,390","0,124","2,059","3,050","0,269","0,052","2,121","0,089","1,913","2,569","0,042"
3/10/13,3/16/13,GASOLINA COMUM,8665,R$/l,"2,890","0,147","2,469","3,899","0,404","0,051","2,486","0,104","2,207","2,887","0,042"
3/10/13,3/16/13,GLP,8041,R$/13Kg,"40,533","4,060","26,000","62,000","10,598","0,100","29,935","4,697","16,800","45,000","0,157"
3/10/13,3/16/13,GNV,508,R$/m3,"1,772","0,161","1,399","2,599","0,411","0,091","1,361","0,155","1,053","2,222","0,114"
3/17/13,3/23/13,ETANOL HIDRATADO,8150,R$/l,"2,064","0,230","1,599","3,150","0,252","0,111","1,812","0,209","1,298","2,518","0,115"
3/17/13,3/23/13,ÓLEO DIESEL,6572,R$/l,"2,319","0,118","1,949","2,990","0,268","0,051","2,051","0,084","1,775","2,430","0,041"
3/17/13,3/23/13,ÓLEO DIESEL S10,1879,R$/l,"2,409","0,125","2,029","3,050","0,266","0,052","2,143","0,086","1,889","2,569","0,040"
3/17/13,3/23/13,GASOLINA COMUM,8667,R$/l,"2,886","0,148","2,440","3,939","0,401","0,051","2,485","0,104","2,217","2,944","0,042"
3/17/13,3/23/13,GLP,8041,R$/13Kg,"40,533","3,985","26,000","62,000","10,521","0,098","30,012","4,692","16,140","45,000","0,156"
3/17/13,3/23/13,GNV,513,R$/m3,"1,772","0,167","1,399","2,599","0,417","0,094","1,355","0,133","1,053","1,822","0,098"
3/24/13,3/30/13,ETANOL HIDRATADO,8134,R$/l,"2,058","0,236","1,599","3,150","0,254","0,115","1,804","0,221","1,300","2,513","0,123"
3/24/13,3/30/13,ÓLEO DIESEL,6608,R$/l,"2,321","0,115","1,949","2,990","0,264","0,050","2,057","0,083","1,795","2,602","0,040"
3/24/13,3/30/13,ÓLEO DIESEL S10,1910,R$/l,"2,412","0,119","2,120","3,050","0,266","0,049","2,146","0,082","1,889","2,570","0,038"
3/24/13,3/30/13,GASOLINA COMUM,8666,R$/l,"2,878","0,152","2,440","3,939","0,392","0,053","2,486","0,106","2,150","2,942","0,043"
3/24/13,3/30/13,GLP,7947,R$/13Kg,"40,491","4,051","26,000","62,000","10,522","0,100","29,969","4,618","14,660","45,000","0,154"
3/24/13,3/30/13,GNV,500,R$/m3,"1,786","0,169","1,399","2,599","0,433","0,095","1,353","0,161","0,952","1,940","0,119"
3/31/13,4/6/13,ETANOL HIDRATADO,8111,R$/l,"2,061","0,238","1,580","3,160","0,269","0,115","1,792","0,226","1,369","2,513","0,126"
3/31/13,4/6/13,ÓLEO DIESEL,6564,R$/l,"2,327","0,115","1,899","3,020","0,269","0,049","2,058","0,083","1,764","2,602","0,040"
3/31/13,4/6/13,ÓLEO DIESEL S10,1977,R$/l,"2,424","0,120","2,160","3,100","0,273","0,050","2,151","0,086","1,889","2,570","0,040"
3/31/13,4/6/13,GASOLINA COMUM,8660,R$/l,"2,880","0,152","2,390","3,939","0,398","0,053","2,482","0,107","2,150","2,942","0,043"
3/31/13,4/6/13,GLP,8044,R$/13Kg,"40,546","4,095","27,000","62,000","10,620","0,101","29,926","4,685","14,660","45,000","0,157"
3/31/13,4/6/13,GNV,537,R$/m3,"1,782","0,168","1,399","2,599","0,412","0,094","1,370","0,165","0,952","1,940","0,120"
4/7/13,4/13/13,ETANOL HIDRATADO,8110,R$/l,"2,051","0,241","1,580","3,160","0,270","0,118","1,781","0,228","1,300","2,660","0,128"
4/7/13,4/13/13,ÓLEO DIESEL,6534,R$/l,"2,329","0,114","1,949","3,020","0,269","0,049","2,060","0,080","1,638","2,594","0,039"
4/7/13,4/13/13,ÓLEO DIESEL S10,2071,R$/l,"2,424","0,125","2,179","3,100","0,264","0,052","2,160","0,091","1,710","2,638","0,042"
4/7/13,4/13/13,GASOLINA COMUM,8657,R$/l,"2,875","0,152","2,399","3,930","0,397","0,053","2,478","0,103","2,078","2,934","0,042"
4/7/13,4/13/13,GLP,8038,R$/13Kg,"40,679","4,147","27,000","62,000","10,645","0,102","30,034","4,599","17,697","45,000","0,153"
4/7/13,4/13/13,GNV,518,R$/m3,"1,783","0,169","1,399","2,599","0,421","0,095","1,362","0,160","0,952","1,940","0,117"
4/14/13,4/20/13,ETANOL HIDRATADO,8108,R$/l,"2,059","0,237","1,599","3,160","0,264","0,115","1,795","0,222","1,369","2,660","0,124"
4/14/13,4/20/13,ÓLEO DIESEL,6505,R$/l,"2,333","0,115","1,980","3,020","0,273","0,049","2,060","0,086","1,713","2,690","0,042"
4/14/13,4/20/13,ÓLEO DIESEL S10,2138,R$/l,"2,428","0,124","2,150","3,100","0,266","0,051","2,162","0,094","1,710","2,638","0,043"
4/14/13,4/20/13,GASOLINA COMUM,8665,R$/l,"2,876","0,151","2,410","3,930","0,399","0,053","2,477","0,102","2,078","2,950","0,041"
4/14/13,4/20/13,GLP,8039,R$/13Kg,"40,800","4,109","27,000","62,000","10,779","0,101","30,021","4,622","17,200","45,000","0,154"
4/14/13,4/20/13,GNV,530,R$/m3,"1,779","0,170","1,399","2,599","0,413","0,096","1,366","0,191","0,952","2,222","0,140"
4/21/13,4/27/13,ETANOL HIDRATADO,8081,R$/l,"2,079","0,234","1,679","3,160","0,253","0,113","1,826","0,207","1,370","2,625","0,113"
4/21/13,4/27/13,ÓLEO DIESEL,6525,R$/l,"2,334","0,114","1,949","3,020","0,271","0,049","2,063","0,084","1,732","2,690","0,041"
4/21/13,4/27/13,ÓLEO DIESEL S10,2208,R$/l,"2,423","0,123","2,150","3,100","0,261","0,051","2,162","0,086","1,963","2,615","0,040"
4/21/13,4/27/13,GASOLINA COMUM,8665,R$/l,"2,875","0,153","2,440","3,929","0,393","0,053","2,482","0,102","2,210","2,950","0,041"
4/21/13,4/27/13,GLP,8032,R$/13Kg,"40,909","4,150","27,000","62,000","11,035","0,101","29,874","4,625","15,870","45,000","0,155"
4/21/13,4/27/13,GNV,517,R$/m3,"1,780","0,163","1,399","2,409","0,401","0,092","1,379","0,148","0,952","1,931","0,107"
4/28/13,5/4/13,ETANOL HIDRATADO,8089,R$/l,"2,075","0,237","1,599","3,160","0,260","0,114","1,815","0,216","1,369","2,660","0,119"
4/28/13,5/4/13,ÓLEO DIESEL,6496,R$/l,"2,334","0,113","1,949","3,020","0,274","0,048","2,060","0,086","1,775","2,690","0,042"
4/28/13,5/4/13,ÓLEO DIESEL S10,2213,R$/l,"2,430","0,124","2,190","3,100","0,271","0,051","2,159","0,093","1,924","2,635","0,043"
4/28/13,5/4/13,GASOLINA COMUM,8661,R$/l,"2,871","0,153","2,399","3,929","0,391","0,053","2,480","0,103","2,210","2,950","0,042"
4/28/13,5/4/13,GLP,8032,R$/13Kg,"40,905","4,166","27,000","62,000","10,995","0,102","29,910","4,674","15,870","45,000","0,156"
4/28/13,5/4/13,GNV,508,R$/m3,"1,787","0,157","1,429","2,409","0,438","0,088","1,349","0,154","0,952","1,931","0,114"
5/5/13,5/11/13,ETANOL HIDRATADO,8086,R$/l,"2,059","0,246","1,599","3,160","0,280","0,119","1,779","0,245","1,330","2,660","0,138"
5/5/13,5/11/13,ÓLEO DIESEL,6464,R$/l,"2,334","0,115","1,969","3,060","0,273","0,049","2,061","0,082","1,650","2,607","0,040"
5/5/13,5/11/13,ÓLEO DIESEL S10,2183,R$/l,"2,430","0,123","2,049","3,100","0,268","0,051","2,162","0,089","1,874","2,653","0,041"
